zip_code,total_population,total_population_male,total_population_female,median_age,under_18,age_18_and_over,age_65_and_over
01255,931,468,463,48.9,134,797,271
01256,620,320,300,54.1,106,514,206
01257,2230,1091,1139,58.1,104,2126,920
01258,188,97,91,55.6,14,174,60
01259,733,318,415,42.8,211,522,99
01260,20,9,11,-,0,20,0
01262,1785,925,860,60.3,157,1628,728
01264,207,92,115,63.4,18,189,94
01266,952,476,476,56,144,808,286
01267,8142,3689,4453,34.1,1187,6955,1965
01270,999,517,482,44.2,157,842,179
01301,17880,8821,9059,44.3,3298,14582,4369
01330,1607,862,745,58.1,172,1435,459
01331,13845,6992,6853,44,2735,11110,2501
01337,2470,1242,1228,49.8,433,2037,489
01338,65,41,24,72.5,0,65,39
01339,1396,705,691,56.9,162,1234,423
01340,1890,997,893,50.8,259,1631,573
01341,1620,762,858,54,283,1337,461
01342,1321,774,547,36.8,255,1066,140
01343,167,81,86,43.7,37,130,18
01344,1631,783,848,43.2,329,1302,313
01346,409,231,178,58.3,54,355,157
01347,197,30,167,29.5,0,197,8
01349,764,372,392,43.1,186,578,108
01350,103,45,58,61.1,10,93,33
01351,2741,1297,1444,44,602,2139,589
01354,1747,978,769,43.5,307,1440,372
01355,1009,558,451,55.6,147,862,167
01360,2871,1395,1476,48.4,496,2375,644
01364,7643,3633,4010,43.1,1600,6043,1491
01366,1177,648,529,52,160,1017,307
01367,504,248,256,45.3,114,390,133
01368,1455,854,601,48.2,335,1120,268
01370,3713,1782,1931,52.4,562,3151,1137
01373,4921,2356,2565,52.3,792,4129,1129
01375,3658,1812,1846,34,302,3356,495
01376,4868,2455,2413,47.7,762,4106,1105
01378,814,405,409,50.4,110,704,155
01379,779,383,396,52,106,673,198
01380,25,23,2,30.8,0,25,4
01420,41661,20137,21524,37.7,8488,33173,5939
01430,6457,3374,3083,38.8,1407,5050,1139
01431,3187,1615,1572,51.6,496,2691,657
01432,8118,3977,4141,40,1450,6668,1304
01434,1763,1396,367,46,250,1513,229
01436,3694,2213,1481,32.8,941,2753,549
01438,385,196,189,19.4,175,210,21
01440,21231,11172,10059,45.1,3685,17546,4042
01450,11212,5727,5485,41,3011,8201,1687
01451,5362,2616,2746,41.6,1322,4040,838
01452,4338,2175,2163,42.3,872,3466,774
01453,43550,22131,21419,43,8304,35246,8116
01460,10084,4969,5115,42.3,2271,7813,1695
01462,11765,5940,5825,43,2621,9144,2010
01463,11667,5649,6018,42.9,2398,9269,1957
01464,7092,4380,2712,46.3,1060,6032,1445
01468,4009,1916,2093,43.9,721,3288,755
01469,7168,3512,3656,40.8,1648,5520,1127
01473,8220,3871,4349,48.6,1609,6611,2212
01474,1902,995,907,51.8,228,1674,280
01475,10180,5022,5158,39.7,2196,7984,1635
01501,16763,7764,8999,43.8,3474,13289,3581
01503,3514,1672,1842,49.7,583,2931,957
01504,9195,4305,4890,43.4,2055,7140,1630
01505,4855,2489,2366,46.3,958,3897,961
01506,3443,1620,1823,50.6,602,2841,813
01507,13338,6646,6692,43,3282,10056,2117
01510,15347,7586,7761,38,2646,12701,2202
01515,2120,1058,1062,51.7,371,1749,531
01516,9213,4300,4913,43.3,2192,7021,1545
01518,3047,1434,1613,35.3,754,2293,375
01519,7634,3900,3734,40.3,1628,6006,813
01520,16893,8221,8672,41.5,4479,12414,2775
01521,2585,1330,1255,51.2,424,2161,622
01522,2890,1547,1343,42,633,2257,432
01523,8395,4510,3885,42,1489,6906,1518
01524,6077,3198,2879,42.2,1229,4848,898
01525,31,31,0,-,0,31,0
01527,13852,6683,7169,44,2845,11007,2529
01529,3176,1576,1600,47.7,591,2585,555
01531,984,480,504,48.3,188,796,228
01532,15647,7369,8278,44.8,3507,12140,2434
01534,5893,2900,2993,47,1140,4753,1117
01535,4750,2398,2352,47.7,828,3922,891
01536,7282,3531,3751,41.4,1678,5604,1179
01537,1935,848,1087,35.5,446,1489,287
01540,11420,5490,5930,42.1,2232,9188,1750
01541,3497,1770,1727,49.4,719,2778,731
01542,2815,1420,1395,46,639,2176,769
01543,9102,4881,4221,41.4,2279,6823,1115
01545,38734,19158,19576,39.7,9110,29624,5717
01550,17669,8599,9070,38.6,3970,13699,2501
01560,4734,2409,2325,38.6,1134,3600,652
01561,0,0,0,-,0,0,0
01562,11955,6362,5593,47.7,2038,9917,2774
01564,8053,3975,4078,51.1,1577,6476,1746
01566,6795,3298,3497,49,1537,5258,1492
01568,7828,3833,3995,44.6,1902,5926,1386
01569,14039,6907,7132,43.5,2669,11370,2490
01570,17671,8535,9136,40.6,3729,13942,3272
01571,11885,5754,6131,41,2324,9561,2020
01581,21360,10595,10765,38.9,5419,15941,3173
01583,7476,3810,3666,46.8,1223,6253,1810
01585,4841,2215,2626,52.6,801,4040,1266
01588,10468,4999,5469,38.8,2469,7999,1494
01590,9268,4572,4696,42.5,1793,7475,1566
01602,25869,12457,13412,39.9,4527,21342,4632
01603,20678,10128,10550,35.3,3920,16758,2494
01604,40724,21115,19609,36.7,8058,32666,5837
01605,30590,15032,15558,32.1,7779,22811,4157
01606,22636,11256,11380,39.9,4539,18097,3306
01607,8630,4244,4386,36.3,1730,6900,938
01608,5080,2641,2439,29.7,1286,3794,226
01609,23256,12468,10788,31.9,2770,20486,3331
01610,27033,12508,14525,27.5,5304,21729,2343
01611,2188,1133,1055,41.9,331,1857,222
01612,5013,2532,2481,36.9,858,4155,839
01701,32973,16319,16654,43.5,6659,26314,6905
01702,38898,19717,19181,35.1,8584,30314,5032
01718,737,412,325,38.1,233,504,25
01719,5462,2562,2900,41.8,1115,4347,673
01720,23081,10950,12131,44.2,5733,17348,3782
01721,18634,9166,9468,41.8,3539,15095,3213
01730,14408,6854,7554,43.3,3315,11093,2350
01731,1784,1059,725,25.5,782,1002,0
01740,5653,2810,2843,40.7,1539,4114,823
01741,5209,2801,2408,45.4,1354,3855,1098
01742,18311,9195,9116,46.4,4446,13865,4093
01745,554,204,350,35.1,115,439,53
01746,14902,7693,7209,45.1,3294,11608,2632
01747,6021,2701,3320,43.3,1504,4517,1049
01748,18748,9419,9329,41.9,5214,13534,2461
01749,19947,9677,10270,43.4,4105,15842,3756
01752,41391,19995,21396,38.1,8429,32962,6024
01754,10671,5402,5269,40.8,2404,8267,1535
01756,6238,2956,3282,44.7,1514,4724,909
01757,30411,15881,14530,40,6355,24056,5333
01760,36274,17477,18797,42.4,7694,28580,6500
01770,4404,2133,2271,44.3,1280,3124,693
01772,9867,4529,5338,42.2,2680,7187,1295
01773,5216,2443,2773,51.2,1166,4050,1412
01775,7111,3787,3324,41,1787,5324,1190
01776,18926,9338,9588,43.8,5348,13578,2952
01778,14070,6937,7133,44,3525,10545,2648
01801,40992,20032,20960,39.2,7397,33595,6460
01803,26004,12643,13361,43.9,5006,20998,5617
01810,35612,17303,18309,43.7,8674,26938,5644
01821,30854,14968,15886,43.1,5915,24939,4977
01824,26612,12963,13649,43.6,5570,21042,4768
01826,32309,16388,15921,41.3,6954,25355,5357
01827,3359,1747,1612,41.8,708,2651,481
01830,26885,13115,13770,38.5,5979,20906,4481
01832,25707,12584,13123,38.6,5243,20464,3567
01833,8389,4109,4280,41.8,2000,6389,1481
01834,6742,3254,3488,42.2,1470,5272,1354
01835,14681,7243,7438,35.7,3057,11624,1884
01840,6977,2939,4038,34.9,1866,5111,837
01841,52738,26168,26570,30.6,15049,37689,4910
01843,28352,14618,13734,32.1,6981,21371,2681
01844,52780,25375,27405,40.6,10859,41921,9064
01845,31624,15918,15706,38.4,6962,24662,4843
01850,16806,8333,8473,33.5,4560,12246,1665
01851,32323,15994,16329,34.8,6740,25583,3150
01852,36546,17740,18806,37.4,7770,28776,4860
01854,29062,14919,14143,31.7,4654,24408,3626
01860,6717,3527,3190,48.2,1233,5484,1477
01862,11126,6064,5062,43.1,1901,9225,1856
01863,9570,4662,4908,42,1909,7661,1876
01864,15529,7861,7668,43.9,3415,12114,2208
01867,25443,12602,12841,44.2,6059,19384,5112
01876,30817,14726,16091,47.1,5205,25612,6001
01879,12385,5976,6409,37.5,2850,9535,1539
01880,27026,13495,13531,43.3,5473,21553,5130
01886,24524,12215,12309,42.4,6519,18005,3260
01887,23191,12154,11037,42.1,5112,18079,3534
01890,22809,10614,12195,42.3,6269,16540,4063
01901,1658,834,824,54.3,150,1508,536
01902,51931,25279,26652,34.9,12725,39206,6621
01904,20078,10367,9711,40.8,4330,15748,3316
01905,26986,13688,13298,33.2,6918,20068,2744
01906,28566,14013,14553,44.4,4768,23798,6101
01907,15208,7176,8032,45.1,3009,12199,2980
01908,3336,1519,1817,58.1,370,2966,1054
01913,17279,8345,8934,44.7,3190,14089,2942
01915,41611,19960,21651,39.7,8079,33532,7348
01921,8234,4217,4017,49.8,1932,6302,1652
01922,3827,1771,2056,45.9,751,3076,939
01923,27734,13039,14695,44.3,4906,22828,5918
01929,3648,1853,1795,45,963,2685,555
01930,29830,14685,15145,51,4602,25228,7631
01937,176,152,24,53.3,0,176,25
01938,13791,6640,7151,47.9,2550,11241,2924
01940,13072,6210,6862,41.2,3353,9719,2558
01944,5386,2786,2600,47.8,1398,3988,1178
01945,20373,9740,10633,49.6,4383,15990,4545
01949,9668,5438,4230,44.6,1729,7939,1861
01950,18356,8211,10145,46.5,4073,14283,3977
01951,2896,1341,1555,57.5,506,2390,658
01952,9182,4513,4669,49.4,1302,7880,1989
01960,54057,25873,28184,46.8,9578,44479,13127
01965,803,401,402,64.8,46,757,362
01966,6973,3162,3811,58.4,876,6097,2584
01969,6175,3013,3162,48.5,1269,4906,1304
01970,44435,20176,24259,38,6945,37490,7387
01982,7612,3714,3898,43.1,1653,5959,1533
01983,6532,3272,3260,43.4,1702,4830,1491
01984,4933,2351,2582,25.3,821,4112,662
01985,4521,2231,2290,50.5,838,3683,1052
02019,17025,8517,8508,38.3,3848,13177,2380
02021,24293,11953,12340,43.1,5310,18983,4750
02025,8330,4119,4211,44.1,2354,5976,1358
02026,25150,11753,13397,43.7,4516,20634,5179
02030,5886,3091,2795,46.2,1584,4302,1121
02032,4847,2525,2322,37.7,1472,3375,781
02035,18476,9091,9385,42.9,3777,14699,3179
02038,32777,15656,17121,42,6672,26105,4427
02043,24143,11683,12460,46,6036,18107,5632
02045,10116,4656,5460,54.2,1393,8723,2336
02047,218,92,126,43.2,29,189,29
02048,23831,11456,12375,41.3,5159,18672,3397
02050,25915,12801,13114,46.3,5058,20857,4968
02052,12844,6407,6437,40.9,3687,9157,1710
02053,13164,6154,7010,39.2,2995,10169,1884
02054,8565,3999,4566,45.6,1790,6775,1855
02056,11527,6507,5020,41.1,2831,8696,1564
02061,11281,5638,5643,38.6,3264,8017,1691
02062,31343,15499,15844,39,6145,25198,5596
02066,18718,8675,10043,48.4,3907,14811,3991
02067,18473,8851,9622,41.9,5032,13441,3272
02071,1480,759,721,30.9,352,1128,101
02072,29051,13354,15697,45.7,5514,23537,5780
02081,19990,9653,10337,42.3,4956,15034,3388
02090,16149,7770,8379,42.7,4244,11905,2928
02093,12173,6365,5808,47.3,2388,9785,2402
02108,4218,2269,1949,38.7,251,3967,844
02109,3559,1630,1929,35.4,200,3359,528
02110,2337,1193,1144,51.6,194,2143,804
