DISCIPLINE,COMMONNAME,LEGALNAME,ADSTREET,ADCITY,ADSTATE,ADZIP5,WEBURL,LONGITUDE,LATITUDE,AAMREG,BEAREG,LOCALE4
ART,CHRISTEL DEHAAN FINE ARTS CENTER GALLERY,UNIVERSITY OF INDIANAPOLIS,1400 E HANNA AVE,INDIANAPOLIS,IL,46227,HTTP://WWW.UINDY.EDU/CAS/ART-DESIGN/DEHAAN_GALLERY.PHP,-86.13724,39.7084,4,3,4
ART,CHRISTENSEN CENTER ART GALLERY,AUGSBURG COLLEGE,2211 RIVERSIDE AVE,MINNEAPOLIS,MN,55454,HTTP://WWW.AUGSBURG.EDU/GALLERIES/,-93.24076,44.96737,4,4,2
ART,CHRISTIAN A. JOHNSON MEMORIAL GALLERY,PRESIDENT & FELLOWS OF MIDDLEBURY COLLEGE,OLD CHAPEL,MIDDLEBURY,VT,05753,NA,-73.16985,44.01474,1,1,4
ART,CHRISTIAN PETERSEN ART MUSEUM,IOWA STATE UNIVERISTY OF SCIENCE AND TECHNOLOGY,1017 MORRILL HALL,AMES,IA,50011,NA,-93.63563,42.01883,4,4,1
ART,CHRISTINE PRICE GALLERY,CHRISTINE PRICE GALLERY,45 ALUMNI DRIVE,CASTLETON,VT,05735,HTTP://WWW.CASTLETON.EDU/ARTS/ART-GALLERIES/,-73.17783,43.60959,1,1,3
ART,CHRISTOPHER ART GALLERY,CHRISTOPHER ART GALLERY,202 SOUTH HALSTED STREET,CHICAGO HEIGHTS,IL,60411,HTTP://PRAIRIESTATE.EDU/ARTGALLERY,-87.63588,41.52787,4,3,2
ART,CHURCH GALLERY,CHURCH GALLERY,301 SPARKMAN DR,HUNTSVILLE,AL,35899,NA,-86.62928,34.74054,3,5,1
ART,CITY COLLEGE ART GALLERY,CITY COLLEGE ART GALLERY,50 PHELAN AVENUE,SAN FRANCISCO,CA,94112,NA,-122.45225,37.72432,6,8,1
ART,CLARA M. EAGLE GALLERY,CLARA M. EAGLE GALLERY,604 PRICE DOYLE FINE ARTS BUILDING,MURRAY,KY,42071,HTTP://WWW.MURRAYSTATE.EDU/ARTGALLERY/,-88.29699,36.61748,3,5,3
ART,CLARK ATLANTA UNIVERSITY ART GALLERIES,CLARK ATLANTA UNIVERSITY INC,223 JAMES P BRAWLEY DRIVE SOUTHWEST,ATLANTA,GA,30314,HTTP://WWW.ATLANTA.NET/PARTNER/CLARK-ATLANTA-UNIVERSITY-ART-GALLERIES/CLARKAT/,-84.41288,33.74827,3,5,1
ART,CLAYPOOL-YOUNG ART GALLERY,CLAYPOOL-YOUNG ART GALLERY,150 UNIVERSITY BOULEVARD,MOREHEAD,KY,40351,HTTP://WWW.MOREHEADSTATE.EDU/CLAYPOOL-YOUNG-GALLERY/,-83.43362,38.18239,3,5,4
ART,CLINTON COMMUNITY COLLEGE'S ALUMNI ART GALLERY,CLINTON COMMUNITY COLLEGE'S ALUMNI ART GALLERY,136 CLINTON POINT DR,PLATTSBURGH,NY,12901,HTTP://WWW.CLINTON.EDU/WAE.ASPX?404,-73.44256,44.66017,2,2,3
ART,CLOUGH-HANSON GALLERY,RHODES COLLEGE,2000 NORTH PARKWAY,MEMPHIS,TN,38112,HTTP://WWW.RHODES.EDU/CAMPUSLIFE/694.ASP,-89.98897,35.15162,3,5,4
ART,CLOYDE SNOOK GALLERY,CLOYDE SNOOK GALLERY,208 EDGEMONT BLVD,ALAMOSA,CO,81101,NA,-105.88066,37.47287,5,7,4
ART,CLYDE H. WELLS FINE ARTS CENTER GALLERY,CLYDE H. WELLS FINE ARTS CENTER GALLERY,NORTH LILLIAN,STEPHENVILLE,TX,76401,HTTP://WWW.TARLETON.EDU/FINEARTS/,-98.2107,32.22592,5,6,4
ART,COASTLINE ART GALLERY,COASTLINE ART GALLERY,1515 MONROVIA AVE,NEWPORT BEACH,CA,92663,HTTP://WWW.COASTLINE.EDU/COMMUNITY/ART-GALLERY/,-117.93604,33.6457,6,8,1
ART,COBB GALLERY,ECKERD COLLEGE,4200 54TH AVE S,SAINT PETERSBURG,FL,33711,HTTP://WWW.ECKERD.EDU/ACADEMICS/VISUALARTS/FACILITIES/INDEX.PHP,-82.68859,27.71897,3,5,4
ART,COBURN GALLERY,COLORADO COLLEGE TH,902 N CASCADE AVENUE,COLORADO SPRINGS,CO,80903,NA,-104.82353,38.84634,5,7,1
ART,COLACINO ART GALLERY,NAZARETH COLLEGE OF ROCHESTER,4245 EAST AVE,ROCHESTER,NY,14618,NA,-77.51459,43.10256,2,2,2
ART,COLBY COLLEGE MUSEUM OF ART,PRESIDENT & TRUSTEES OF COLBY COLLEGE,4000 MAYFLOWER HILL DRIVE,WATERVILLE,ME,04901,HTTP://WWW.COLBY.EDU,-69.63973,44.5419,1,1,4
ART,COLLEGE ART GALLERY,COLLEGE ART GALLERY,2000 PENNINGTON ROAD,EWING,NJ,08628,HTTP://TCNJ.PAGES.TCNJ.EDU,-74.78047,40.27433,2,2,2
ART,COLLEGE OF MARIN FINE ARTS GALLERY,MARIN COMMUNITY COLLEGE DISTRICT KENTFIELD,835 COLLEGE AVENUE,KENTFIELD,CA,94904,HTTP://WWW.MARIN.EDU/DEPARTMENTS/FINEVISUALARTS/FINEARTGALLERY/INDEX.HTM,-122.57328,38.07625,6,8,2
ART,GALLERIES,COLLEGE OF PERFORMING AND VISUAL ARTS,CARTER HALL - RM 4000,GREELEY,CO,80639,NA,-104.69358,40.40687,5,7,4
ART,COLLEGE OF THE CANYONS ART GALLERY,COLLEGE OF THE CANYONS ART GALLERY,26455 ROCKWELL CANYON ROAD,SANTA CLARITA,CA,91355,NA,-118.56791,34.40818,6,8,2
ART,COLLEGE OF THE MAINLAND ART GALLERY,COLLEGE OF THE MAINLAND ART GALLERY,1200 AMBURN ROAD,TEXAS CITY,TX,77591,NA,-94.99944,29.39521,5,6,4
ART,COLLEGE OF WOOSTER ART MUSEUM,COLLEGE OF WOOSTER,1189 BEALL AVENUE,WOOSTER,OH,44691,HTTP://WWW.WOOSTER.EDU,-81.94533,40.81254,4,3,4
ART,COLLINS C. DIBOLL ART GALLERY,LOYOLA UNIVERSITY,6363 SAINT CHARLES AVENUE,NEW ORLEANS,LA,70118,NA,-90.12071,29.93315,3,5,1
